window,market,qualifying_posts,positive,negative,neutral,current_net,baseline_n,baseline_net,vss,signal,breach_run,escalation
2026-04-18 10:00:00+00:00,Bengaluru,729,375,97,257,38.134430727023314,2899,35.90893411521214,2.225496611811174,NORMAL,0,False
2026-04-18 10:15:00+00:00,Bengaluru,748,379,111,258,35.82887700534759,2899,35.90893411521214,-0.08005710986454773,NORMAL,0,False
2026-04-18 10:30:00+00:00,Bengaluru,695,363,111,221,36.2589928057554,2899,35.90893411521214,0.350058690543257,NORMAL,0,False
2026-04-18 10:45:00+00:00,Bengaluru,710,371,106,233,37.323943661971825,2899,35.90893411521214,1.4150095467596842,NORMAL,0,False
2026-04-18 11:00:00+00:00,Bengaluru,772,401,114,257,37.17616580310881,2899,35.90893411521214,1.2672316878966683,NORMAL,0,False
2026-04-18 11:15:00+00:00,Bengaluru,713,373,114,226,36.325385694249654,2899,35.90893411521214,0.4164515790375134,NORMAL,0,False
2026-04-18 11:30:00+00:00,Bengaluru,686,365,99,222,38.775510204081634,2899,35.90893411521214,2.8665760888694933,NORMAL,0,False
2026-04-18 11:45:00+00:00,Bengaluru,726,393,94,239,41.18457300275482,2899,35.90893411521214,5.2756388875426765,NORMAL,0,False
2026-04-18 12:00:00+00:00,Bengaluru,950,464,179,307,30.0,2899,35.90893411521214,-5.908934115212141,NORMAL,0,False
2026-04-18 12:15:00+00:00,Bengaluru,970,449,206,315,25.051546391752577,2899,35.90893411521214,-10.857387723459563,NORMAL,0,False
2026-04-18 12:30:00+00:00,Bengaluru,997,480,191,326,28.98696088264794,2899,35.90893411521214,-6.921973232564202,NORMAL,0,False
2026-04-18 12:45:00+00:00,Bengaluru,908,458,148,302,34.140969162995596,2899,35.90893411521214,-1.7679649522165448,NORMAL,0,False
2026-04-18 13:00:00+00:00,Bengaluru,1024,586,126,312,44.921875,2899,35.90893411521214,9.01294088478786,NORMAL,0,False
2026-04-18 13:15:00+00:00,Bengaluru,1036,619,143,274,45.945945945945944,2899,35.90893411521214,10.037011830733803,NORMAL,0,False
2026-04-18 13:30:00+00:00,Bengaluru,920,496,133,291,39.45652173913044,2899,35.90893411521214,3.5475876239182966,NORMAL,0,False
